Modelo,Cilindrada,Ano,Valor,valor_fipe,Url,Codigo,cod_fipe,Data,Marca,Quilometragem,diferença_fipe,Município
SUZUKI EN 125 YES,125,2008,4900,4511,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/vende-se-suzuki-en-yes-125-2008-documento-2022-placa-mercosul-1034812111,1034812111,"[{'Codigo': '825042-1', 'id': 'SUZUKI - EN 125 YES', 'Valor': 4511}]",20/05,SUZUKI,0,,Contagem
HONDA CG 125 FAN ES,125,2007,5400,5636,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/5-400-1034811856,1034811856,"[{'Codigo': '811078-6', 'id': 'HONDA - CG 125 FAN / FAN KS / 125 i FAN', 'Valor': 5636}]",20/05,HONDA,1111,,Belo Horizonte
HONDA LEAD 110,125,2015,8500,8646,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/vende-se-lead-2015-1034810776,1034810776,"[{'Codigo': '811099-9', 'id': 'HONDA - LEAD 110', 'Valor': 8646}]",20/05,HONDA,26000,,Belo Horizonte
HONDA BIZ 110I,125,2013,9000,0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/honda-bis-vermelha-1034806535,1034806535,"[{'Codigo': '811002-6', 'id': 'HONDA - C 100 BIZ-ES', 'Valor': 8517}, {'Codigo': '811003-4', 'id': 'HONDA - C 100 BIZ/ 100 BIZ KS', 'Valor': 7433}, {'Codigo': '811106-5', 'id': 'HONDA - BIZ 125 EX/ 125 EX FLEX', 'Valor': 10921}, {'Codigo': '811080-8', 'id': 'HONDA - BIZ 125 ES/ ES F.INJ./ES MIX F.INJECTION', 'Valor': 9868}]",20/05,HONDA,78441,,Sete Lagoas
YAMAHA YS 150 FAZER SED/ FLEX,150,2014,10000,9062,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fazer-ys150-sed-1034804960,1034804960,"[{'Codigo': '827088-0', 'id': 'YAMAHA - YS 150 FAZER SED/ FLEX', 'Valor': 9062}]",20/05,YAMAHA,90200,,Belo Horizonte
HONDA CG 125 FAN / FAN KS / 125 I FAN,125,2011,7000,6767,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fan-125-ks-1034802849,1034802849,"[{'Codigo': '811078-6', 'id': 'HONDA - CG 125 FAN / FAN KS / 125 i FAN', 'Valor': 6767}]",20/05,HONDA,72000,,Esmeraldas
HONDA CG 125 FAN / FAN KS / 125 I FAN,125,2008,6500,5796,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/vende-se-ou-troco-por-carro-1034792778,1034792778,"[{'Codigo': '811078-6', 'id': 'HONDA - CG 125 FAN / FAN KS / 125 i FAN', 'Valor': 5796}]",20/05,HONDA,0,,Belo Horizonte
HONDA CG 150 TITAN-ESD/ TITAN SPECIAL EDITION,150,2008,8500,8278,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/titan-150-esd-1034781744,1034781744,"[{'Codigo': '811072-7', 'id': 'HONDA - CG 150 TITAN-ESD/ TITAN SPECIAL EDITION', 'Valor': 8278}]",20/05,HONDA,49108,,Sarzedo
YAMAHA YBR 125 K,125,2005,5300,3766,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/ybr-2005-125k-conservada-1034765563,1034765563,"[{'Codigo': '827040-6', 'id': 'YAMAHA - YBR 125 K', 'Valor': 3766}]",20/05,YAMAHA,100000,,Belo Horizonte
HONDA CG 150 TITAN-ESD/ TITAN SPECIAL EDITION,150,2007,8500,8031,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg-titan-150cc-esd-preta-2007-doc-2022-top-1034763239,1034763239,"[{'Codigo': '811072-7', 'id': 'HONDA - CG 150 TITAN-ESD/ TITAN SPECIAL EDITION', 'Valor': 8031}]",20/05,HONDA,58472,,Belo Horizonte
