id,Marca,Modelo,Ano,Valor,Codigo Fipe
APRILIA - PEGASO 650cc - 2002,APRILIA,PEGASO 650cc,2002,R$ 15.905,00, 802005-1
APRILIA - PEGASO 650cc - 1999,APRILIA,PEGASO 650cc,1999,R$ 10.522,00, 802005-1
APRILIA - RALLY 50cc - 1998,APRILIA,RALLY 50cc,1998,R$ 2.709,00, 802006-0
APRILIA - RALLY 50cc - 2001,APRILIA,RALLY 50cc,2001,R$ 3.552,00, 802006-0
APRILIA - RALLY 50cc - 1999,APRILIA,RALLY 50cc,1999,R$ 3.154,00, 802006-0
APRILIA - RALLY 50cc - 2000,APRILIA,RALLY 50cc,2000,R$ 3.249,00, 802006-0
CALOI - MONDO 75cc - 1997,CALOI,MONDO 75cc,1997,R$ 741,00, 806002-9
CALOI - MONDO 75cc - 1998,CALOI,MONDO 75cc,1998,R$ 778,00, 806002-9
CALOI - MOBILETE 50cc - 2002,CALOI,MOBILETE 50cc,2002,R$ 997,00, 806001-0
APRILIA - PEGASO 650cc - 2000,APRILIA,PEGASO 650cc,2000,R$ 10.820,00, 802005-1
CALOI - MOBILETE 50cc - 1996,CALOI,MOBILETE 50cc,1996,R$ 622,00, 806001-0
CALOI - MOBILETE 50cc - 1999,CALOI,MOBILETE 50cc,1999,R$ 797,00, 806001-0
CALOI - MOBILETE 50cc - 2001,CALOI,MOBILETE 50cc,2001,R$ 843,00, 806001-0
BULL - Eko Hunter 2000W (Elétrica) - 2019,BULL,Eko Hunter 2000W (Elétrica),2019,R$ 7.904,00, 888008-5
BULL - Eko Hunter 2000W (Elétrica) - 32000,BULL,Eko Hunter 2000W (Elétrica),32000,R$ 13.490,00, 888008-5
BULL - KHRISMA 50 - 32000,BULL,KHRISMA 50,32000,R$ 8.240,00, 888012-3
BULL - Eko Hunter 2000W (Elétrica) - 2021,BULL,Eko Hunter 2000W (Elétrica),2021,R$ 12.794,00, 888008-5
BULL - KHRISMA 50 - 2020,BULL,KHRISMA 50,2020,R$ 7.063,00, 888012-3
BULL - BM-S 180 - 2019,BULL,BM-S 180,2019,R$ 9.808,00, 888006-9
BULL - BM-T180 - 2019,BULL,BM-T180,2019,R$ 10.780,00, 888011-5
BULL - BM-T180 - 32000,BULL,BM-T180,32000,R$ 13.695,00, 888011-5
BULL - BM-T180 - 2021,BULL,BM-T180,2021,R$ 13.095,00, 888011-5
BRANDY - ELEGANT 50 - 1996,BRANDY,ELEGANT 50,1996,R$ 931,00, 804001-0
BRANDY - ELEGANT 50 - 1995,BRANDY,ELEGANT 50,1995,R$ 857,00, 804001-0
BAJAJ - CLASSIC 150cc - 1998,BAJAJ,CLASSIC 150cc,1998,R$ 1.146,00, 837002-8
BIMOTA - DB5R 1078cc - 2010,BIMOTA,DB5R 1078cc,2010,R$ 47.584,00, 828004-5
DUCATI - 1098 1099cc - 2008,DUCATI,1098 1099cc,2008,R$ 34.775,00, 808023-2
byCristo - Triciclo Star II / Top - 1999,byCristo,Triciclo Star II / Top,1999,R$ 12.385,00, 842002-5
byCristo - Triciclo Star II / Top - 2014,byCristo,Triciclo Star II / Top,2014,R$ 38.435,00, 842002-5
HAOJUE - DK 150 - 2019,HAOJUE,DK 150,2019,R$ 10.322,00, 885004-6
BIMOTA - DB5R 1078cc - 2008,BIMOTA,DB5R 1078cc,2008,R$ 42.305,00, 828004-5
HAOJUE - DK 150 - 2021,HAOJUE,DK 150,2021,R$ 12.195,00, 885004-6
HAOJUE - DK 150 - 32000,HAOJUE,DK 150,32000,R$ 15.005,00, 885004-6
BIMOTA - MANTRA 904cc - 2000,BIMOTA,MANTRA 904cc,2000,R$ 22.346,00, 828001-0
AVELLOZ - AZ 01 50cc - 2022,AVELLOZ,AZ 01 50cc,2022,R$ 7.978,00, 890001-9
byCristo - Triciclo Star II / Top - 2013,byCristo,Triciclo Star II / Top,2013,R$ 37.001,00, 842002-5
byCristo - Triciclo Star II / Top - 2008,byCristo,Triciclo Star II / Top,2008,R$ 27.130,00, 842002-5
BIMOTA - DB5R 1078cc - 2009,BIMOTA,DB5R 1078cc,2009,R$ 44.690,00, 828004-5
HAOJUE - DK 150 - 2023,HAOJUE,DK 150,2023,R$ 13.743,00, 885004-6
HAOJUE - DK 150 - 2018,HAOJUE,DK 150,2018,R$ 8.868,00, 885004-6
HAOJUE - DK 150 - 2022,HAOJUE,DK 150,2022,R$ 13.190,00, 885004-6
HAOJUE - DK 150 S - 2022,HAOJUE,DK 150 S,2022,R$ 13.665,00, 885005-4
HAOJUE - DK 150 S - 32000,HAOJUE,DK 150 S,32000,R$ 15.343,00, 885005-4
HAOJUE - DK 150 - 2020,HAOJUE,DK 150,2020,R$ 11.377,00, 885004-6
byCristo - Triciclo Star II / Top - 2009,byCristo,Triciclo Star II / Top,2009,R$ 28.077,00, 842002-5
HAOJUE - LINDY 125 - 2021,HAOJUE,LINDY 125,2021,R$ 10.808,00, 885001-1
HAOJUE - DR 160 - 2022,HAOJUE,DR 160,2022,R$ 18.196,00, 885008-9
FYM - FY125-20 Sachs 125cc - 2006,FYM,FY125-20 Sachs 125cc,2006,R$ 3.770,00, 849001-5
HAOJUE - LINDY 125 - 2020,HAOJUE,LINDY 125,2020,R$ 10.372,00, 885001-1
byCristo - Triciclo Star II / Top - 2001,byCristo,Triciclo Star II / Top,2001,R$ 14.877,00, 842002-5
FYM - FY150-3 150cc - 2008,FYM,FY150-3 150cc,2008,R$ 2.249,00, 849005-8
HAOJUE - LINDY 125 - 2022,HAOJUE,LINDY 125,2022,R$ 11.675,00, 885001-1
FYM - FY125EY-2 125cc - 2007,FYM,FY125EY-2 125cc,2007,R$ 2.571,00, 849007-4
FYM - FY150-3 150cc - 2007,FYM,FY150-3 150cc,2007,R$ 1.924,00, 849005-8
FYM - FY100-10A 100cc - 2008,FYM,FY100-10A 100cc,2008,R$ 1.564,00, 849003-1
HAOJUE - LINDY 125 - 2023,HAOJUE,LINDY 125,2023,R$ 12.045,00, 885001-1
HAOJUE - MASTER RIDE 150 - 32000,HAOJUE,MASTER RIDE 150,32000,R$ 17.008,00, 885009-7
byCristo - Triciclo Star II / Top - 2011,byCristo,Triciclo Star II / Top,2011,R$ 35.797,00, 842002-5
FYM - FY250 250cc - 2006,FYM,FY250 250cc,2006,R$ 5.254,00, 849002-3
byCristo - Triciclo Star II / Top - 2007,byCristo,Triciclo Star II / Top,2007,R$ 22.698,00, 842002-5
FYM - FY125Y-3 125cc - 2007,FYM,FY125Y-3 125cc,2007,R$ 4.030,00, 849006-6
FYM - FY250 250cc - 2009,FYM,FY250 250cc,2009,R$ 7.403,00, 849002-3
byCristo - Triciclo Star II / Top - 2002,byCristo,Triciclo Star II / Top,2002,R$ 17.318,00, 842002-5
FYM - FY125-20 Sachs 125cc - 2007,FYM,FY125-20 Sachs 125cc,2007,R$ 4.279,00, 849001-5
HAOJUE - VR 150 - 2023,HAOJUE,VR 150,2023,R$ 16.511,00, 885007-0
BIMOTA - DB7 1099cc - 2011,BIMOTA,DB7 1099cc,2011,R$ 74.982,00, 828007-0
BRAVA - YB 150T-15 150cc - 2008,BRAVA,YB 150T-15 150cc,2008,R$ 3.277,00, 853001-7
BMW - F 650 - 1999,BMW,F 650,1999,R$ 13.976,00, 803001-4
BRAVA - YB 150T-15 150cc - 2007,BRAVA,YB 150T-15 150cc,2007,R$ 3.006,00, 853001-7
BMW - F 650 - 1997,BMW,F 650,1997,R$ 13.224,00, 803001-4
DAELIM - VC 125 ADVANCED - 1996,DAELIM,VC 125 ADVANCED,1996,R$ 2.530,00, 807003-2
DAELIM - ALTINO 100cc - 2002,DAELIM,ALTINO 100cc,2002,R$ 1.865,00, 807001-6
BMW - F 650 - 1996,BMW,F 650,1996,R$ 12.863,00, 803001-4
BMW - F 650 GS/Dakar - 2009,BMW,F 650 GS/Dakar,2009,R$ 26.083,00, 803015-4
BEE - BEE 50cc - 2017,BEE,BEE 50cc,2017,R$ 7.940,00, 886001-7
BMW - F 750 GS Premium - 2019,BMW,F 750 GS Premium,2019,R$ 51.294,00, 803067-7
BMW - F 750 GS Premium - 2021,BMW,F 750 GS Premium,2021,R$ 63.462,00, 803067-7
BMW - F 650 GS/Dakar - 2011,BMW,F 650 GS/Dakar,2011,R$ 27.565,00, 803015-4
BRANDY - FOSTI 125 - 1998,BRANDY,FOSTI 125,1998,R$ 1.328,00, 804002-8
BEE - BEE 50cc - 2016,BEE,BEE 50cc,2016,R$ 6.605,00, 886001-7
BEE - BEE 50cc - 2019,BEE,BEE 50cc,2019,R$ 8.380,00, 886001-7
BRANDY - FOSTI 125 - 1997,BRANDY,FOSTI 125,1997,R$ 1.212,00, 804002-8
BRANDY - FOSTI 125 - 1999,BRANDY,FOSTI 125,1999,R$ 1.458,00, 804002-8
BMW - F 750 GS Premium - 2022,BMW,F 750 GS Premium,2022,R$ 65.173,00, 803067-7
DAELIM - MESSAGE 50cc - 1998,DAELIM,MESSAGE 50cc,1998,R$ 1.219,00, 807002-4
BMW - F 750 GS Premium - 2020,BMW,F 750 GS Premium,2020,R$ 54.815,00, 803067-7
BMW - F 650 GS/Dakar - 2008,BMW,F 650 GS/Dakar,2008,R$ 25.372,00, 803015-4
BMW - F 650 GS/Dakar - 2010,BMW,F 650 GS/Dakar,2010,R$ 26.814,00, 803015-4
BMW - F 700 GS - 2017,BMW,F 700 GS,2017,R$ 41.770,00, 803059-6
DAELIM - MESSAGE 50cc - 1999,DAELIM,MESSAGE 50cc,1999,R$ 1.342,00, 807002-4
BMW - F 750 GS Premium - 32000,BMW,F 750 GS Premium,32000,R$ 67.936,00, 803067-7
BMW - F 700 GS - 2018,BMW,F 700 GS,2018,R$ 44.293,00, 803059-6
DAELIM - ALTINO 100cc - 2001,DAELIM,ALTINO 100cc,2001,R$ 1.724,00, 807001-6
BMW - F 650 CS - 2002,BMW,F 650 CS,2002,R$ 16.149,00, 803019-7
BMW - F 850 GS Adventure Premium 40 anos - 32000,BMW,F 850 GS Adventure Premium 40 anos,32000,R$ 82.770,00, 803089-8
BMW - F 850 GS Adventure Premium 40 anos - 2022,BMW,F 850 GS Adventure Premium 40 anos,2022,R$ 76.606,00, 803089-8
BMW - F 800 S 798cc - 2007,BMW,F 800 S 798cc,2007,R$ 22.884,00, 803030-8
BMW - F 850 GS Adventure Premium 40 anos - 2021,BMW,F 850 GS Adventure Premium 40 anos,2021,R$ 74.504,00, 803089-8
CAGIVA - NAVIGATOR 1000 - 2001,CAGIVA,NAVIGATOR 1000,2001,R$ 19.783,00, 805010-4
BMW - F 800 S 798cc - 2008,BMW,F 800 S 798cc,2008,R$ 25.808,00, 803030-8
CAGIVA - ROADSTER 200cc - 2000,CAGIVA,ROADSTER 200cc,2000,R$ 2.932,00, 805006-6
JONNY - ATLANTIC 150cc - 2009,JONNY,ATLANTIC 150cc,2009,R$ 4.182,00, 865001-2
JONNY - ATLANTIC 150cc - 2008,JONNY,ATLANTIC 150cc,2008,R$ 4.021,00, 865001-2
JONNY - ATLANTIC 150cc - 2010,JONNY,ATLANTIC 150cc,2010,R$ 4.347,00, 865001-2
JONNY - ATLANTIC 150cc - 2011,JONNY,ATLANTIC 150cc,2011,R$ 4.510,00, 865001-2
ADLY - RT 50 - 2001,ADLY,RT 50,2001,R$ 1.915,00, 840016-4
RIGUETE - TRC-01 SUPER LUXO SE 1.6 - 2017,RIGUETE,TRC-01 SUPER LUXO SE 1.6,2017,R$ 37.496,00, 880005-7
KTM - SX 125 - 2007,KTM,SX 125,2007,R$ 11.736,00, 818006-7
JONNY - ATLANTIC 150cc - 2006,JONNY,ATLANTIC 150cc,2006,R$ 3.880,00, 865001-2
RIGUETE - TRC-01 SUPER LUXO SE 1.6 - 2018,RIGUETE,TRC-01 SUPER LUXO SE 1.6,2018,R$ 42.367,00, 880005-7
Royal Enfield - Bullet 500 - 2020,Royal Enfield,Bullet 500,2020,R$ 18.325,00, 879008-6
